,Unnamed: 0,index,Unnamed: 0.1,名字,地址,园区描述,园区画像,办公租房,工业地价,级别荣誉,产业集群,创新载体,区位交通,高新企业,上市企业,生物医药企业,典型企业,工业地价(万/亩起),住房租金(元/月),办公房租(元/平米/天),工业厂房(万元/平米),峰值天然气(元/立方米),峰值水费(元/立方米),峰值电费(元/千瓦时),公共食堂,周边快餐店,人才公寓配套,1公里范围内小区,1公里内酒店数量,5公里内四星级以上酒店数量,距离地铁站,园区附近500米内公交站,3公里内电影院,3公里内商业综合体,高校资源,人才资源,网址,lat,lon,confidence,comprehension
0,0,0,0,天和高科技产业园,浙江省杭州市滨江区长河街道滨安路688号,天和高科占地77.89亩，建筑面积10.35万m2，容积率只有2.0，配备生物医药行业所需的GMP标准厂房、专业污水处理池等场地需求,"['医学研究', '生物技术研究', '健康管理服务', '医疗机构', '体外诊断试剂', '疾病精准诊断', '生物农业', '进口代理', '医用诊察和监护器械', '生物药']",0.0元/m²/天,/万/亩起,"['杭州高新区海外高层次人才创新创业基地', '“十三五”重点培育示范企业', '浙江省智慧小企业创业基地', '中国技术协会团体会员单位', '杭州生物产业园国家高新技术产业基地拓展区', '杭州市高新技术产业园', '国家级科技企业孵化器', '国家中小企业公共服务示范平台']","['原料', '试剂', '检测服务企业', '体外诊断', '医疗器械', '生物信息', '中医药研发']",[],"['距离杭州站：9KM驾车需要22分钟', '距离杭州东站：17KM驾车需要42分钟', '距离杭州南站：10KM驾车需要41分钟', '距离杭州西站：19KM驾车需要66分钟', '距离杭州萧山国际机场：25KM驾车需要54分钟']",19,-,230,"['浙江希路生物医药科技有限公司', '杭州量康科技有限公司', '杭州明伦医学科技有限公司', '杭州威星药业有限公司', '杭州浩博医药有限公司', '杭州量康医学检验所有限公司', '汉库国际(杭州)健康产业发展有限公司', '杭州德亩健康咨询有限公司', '浙江康佰裕生物科技有限公司', '英百瑞(杭州)生物医药有限公司', '杭州百世伽信息科技有限公司', '杭州金域医学检验所有限公司', '浙江毅腾健康产业有限公司', '浙江睿赛科技有限公司', '杭州金式麦医学技术有限公司']",/,/,0.0,/,/,/,/,有,有,无,有,5,2,800,有,CGV影城；嘉年华国际影城,龙湖天街；中赢国际,['浙江中医药大学'],"['江涛(浙江省特聘专家)', '骆亦奇(浙江省特聘专家)', '吕明(国万专家)', '陈枢青(浙大药学院教授)', '张业炎(浙江省特聘专家)', '苗振伟(浙江省特聘专家)', '陈燃(浙江省特聘专家)']",https://www.yaoxuanzhi.com/parkdetail/e2a8cda1758f6bc180cdbb475c4609b5,30.19150454834584,120.1993860939769,80,100
1,1,1,1,广东医谷（南沙）产业孵化器,广州市南沙区南江二路6号,广东医谷（南沙）产业孵化器 —— 打造世界一流的医疗产业创新中心,"['医学研究', '生物技术研究', '健康管理服务', '医疗机构', '治疗设备', '生物农业', '医疗信息服务', '医药电商', '进口代理', '保健食品']",1.5元/m²/天,-万/亩起,"['广州市重点建设项目工程', '《广州市促进健康及养老产业发展行动计划（2017－2020年）》重点扶持单位', '广州市产业园提质增效试点园区', '广州市创新创业（孵化）示范基地', '广东省科技企业孵化器协会副会长单位', '广州市商务局招商合作社会中介机构', '广州市科技企业孵化器', '广州市中小企业服务站', '港澳青年学生实习就业基地', '广州市南沙区创业（示范）基地', '南沙区助力企业孵化成长工作站', '南沙区服务贸易创新发展基地', '国家级孵化器']","['生物技术', '生物医药', '医疗器械', '新药研发', '免疫治疗', '基因编辑治疗', '干细胞技术', '基因检测', '体外诊断试剂', '保健食品', '医疗机构', '健康管理服务']","['国际医疗产业创新中心', '基因组编辑技术研究基地', '创新医疗器械研究基地', '大湾区免疫治疗临床示范基地', '大湾区纳米医药产业化基地', '庖丁技术转化中心', '海鳖部落']","['距离广州站：70KM驾车需要65分钟', '距离广州东站：64KM驾车需要60分钟', '距离广州南站：51KM驾车需要38分钟', '距离广州北站：103KM驾车需要80分钟', '距离广州白云国际机场：99KM驾车需要85分钟']",4,-,173,"['广州拉索生物科技有限公司', '广州诺辉医学检验实验室有限公司', '广州华飞迪通医疗科技有限公司', '广东海思卡尔医疗科技有限公司', '百盛（广州）生物制品有限公司', '广州龙翔医学技术有限公司', '广东致佳医疗器械有限公司', '吉帝医药（广州）有限公司', '诺凡益生物科技（广州）有限公司', '广州辑因医疗科技有限公司', '广州嘉检医学检测有限公司', '广州卫视博生物科技有限公司', '北京泛生子基因科技有限公司', '广东天科雅生物医药科技有限公司', '医微细胞生物技术（广州）有限公司']",-,1500,1.5,-,-,5.2,1.0335,有,有,有,有,1,0,3km,有,0,-,"['华南师范大学第二附属中学', '广州外国语学校', '执信中学', '广大附中', '香港科技大学']",[],https://www.yaoxuanzhi.com/parkdetail/6e27fc7e69a087706d1dbb1c155c87d7,22.729517422205582,113.52454999127663,80,100
2,2,2,2,上海交科松江科创园,上海市松江区泗砖路351号,位于松江区泗砖路351号（临近钢材城、科大智能、G15出口），距9号线泗泾地铁站3km，可乘坐47路公交车到达上下班提供免费班车，此外距G15高速仅2公里。,"['健康管理服务', '生物技术研究', '生物农业', '检验设备、试剂']",1.0元/m²/天,65万/亩起,"['国家级创业创新示范基地', '上海市创业孵化示范基地', '上海市科技企业孵化器', '上海市中小企业服务机构', '松江区四星级产业园区', '国家级科技企业孵化器（专业）', '松江区服务业创新发展示范园区']","['智能制造', '电子信息', '5G', '医疗器械', '大健康', '医疗健康', '生物科技']",['国家级科技企业孵化器'],"['距离上海站：33KM驾车需要58分钟', '距离上海虹桥站：13KM驾车需要29分钟', '距离上海南站：18KM驾车需要33分钟', '距离上海浦东国际机场：72KM驾车需要57分钟', '距离上海西站：33KM驾车需要45分钟', '距离上海虹桥国际机场：15KM驾车需要32分钟']",1,-,38,"['开异智能', '塔望智能', '跋涉智能', '炉石智能', '众琪', '迈润', '升旭']",65,1900,1.0,1.5,0,5.6,1.3,有,有,有,有,5,3,1.2公里,有,保利影院,三湘广场,"['上海外国语大学', '东华大学', '华东政法大学', '上海对外经贸大学', '上海立信会计金融学院', '上海工程技术大学', '上海视觉艺术学院']",[],https://www.yaoxuanzhi.com/parkdetail/c7204d438ee2525a811b7a3d3f4647c0,31.106411570383433,121.27990289643157,80,100
3,3,3,3,杭州星运医疗健康产业园,浙江省杭州市余杭区通运路364号,"星运医疗健康产业园位于良渚生命科技小镇先导区，园区建立了涵盖CRO+CDMO服务平台，高端人才服务平台，投融资平台，品宣赋能平台，名师帮帮帮平台，政策助力，一站式代办服务平台，双创活动平台在内的8大服务平台来服务科创型企业，赋能良渚生命科技小镇产业集聚区建设，成为驱动区域经济发展的新引擎

目前，星运医疗健康产业园区入驻企业40余家，属于生物医药大健康产业，范围涵盖药物研发，试剂研发，医疗器械研发","['医学研究', '生物技术研究', '进口代理', '健康管理服务', '生物农业', '医疗信息服务', '生物能源', '医疗机构']",1.8元/m²/天,0万/亩起,['市级孵化器，小微园区，重点楼宇'],"['医疗器械', '生物医药', '人工智能医疗', '医学检验']",['星运医疗健康产业园孵化器'],"['距离杭州站：15KM驾车需要35分钟', '距离杭州东站：17KM驾车需要46分钟', '距离杭州南站：34KM驾车需要84分钟', '距离杭州西站：11KM驾车需要44分钟', '距离杭州萧山国际机场：42KM驾车需要73分钟']",-,-,37,[],0,0,1.8,0,0,3,1,无,有,有,有,30,2,1500米,有,西田城;万达;航行荟；InsPark,西田城;万达;航行荟；InsPark,[],['李好(运营经理)'],https://www.yaoxuanzhi.com/parkdetail/c65f21d71c03a26c247a5a4a01a94bc0,30.346609371908315,120.11515512120395,80,99
4,4,4,4,安徽肥西经济开发区,安徽省合肥市锦绣大道316号,省级开发区，安徽省开发区第一方阵，肥西县工业经济主战场、主引擎。,"['生物技术研究', '健康管理服务', '医疗机构', '生物农业', '医学研究', '金融服务', '化药', '治疗设备', '体外诊断试剂', '检验设备、试剂']",-元/m²/天,25.6万/亩起,"['安徽省开发区第一方阵', '全国县（市）营商环境第二名', '省知识产权示范园区', '省新型工业化示范基地', '省创新型园区', '国家级合肥两化融合试验区示范园区']","['汽车及配套', '家电及配套', '智能装备', '生物医药', '新能源新材料']",['长三角G60科创走廊产业合作示范园区（生物医药）'],[],9,-,526,"['生物谷(安徽)科技有限公司', '合肥亿帆生物制药有限公司', '合肥得一新材料科技有限公司', '安徽嘉伟新材料科技有限责任公司', '安徽达润基恩医疗有限公司', '合肥登特菲医疗设备有限公司', '合肥永生制药有限公司', '安徽菲扬新材料有限公司', '千辉药业(安徽)有限责任公司', '安徽省安天医药有限公司', '安徽省绿健医药有限公司', '安徽寿丰健康养老产业有限公司', '安徽博瑞达生物科技产业园开发有限公司', '合肥泰护医疗器械有限公司', '安徽玉茂实业有限公司', '合肥华润神鹿药业有限公司', '合肥恩瑞特药业有限公司', '安徽大千生物工程有限公司']",25.6,500-1000,-,0.4-0.5,3.16,2.15,1,有,有,有,有,5,1,500米以内,有,金逸影城；大地影院；中影国际影城,中环城；星达城；港澳广场；正大广场,"['中国科学技术大学', '安徽医科大学', '安徽中医药大学', '合肥工业大学', '安徽大学', '安徽农业大学']",[],https://www.yaoxuanzhi.com/parkdetail/20d73c88b7e8270ac4593cccd4a1cf78,31.766667638375417,117.20146423818198,80,100
5,5,5,5,杭州医药港,浙江省杭州市钱塘新区福城路291号,杭州医药港位于杭州钱塘新区，是浙江省和杭州市生物医药产业的核心区。经过数年打造，目前已集聚各类生物医药企业1400余家，辉瑞、默沙东、吉利德、雅培、礼来、拜耳等全球10大医药企业中的7家已落户，产值规模约400亿元，占杭州市生物医药产值比重近50%，获批建设省级特色小镇，相继获评省级高新技术特色小镇、浙江杭州生物医药产业创新服务综合体、省级“万亩千亿”新产业平台。,"['生物技术研究', '健康管理服务', '医学研究', '医疗机构', '生物农业', '进口代理', '化药', '检验设备、试剂', '体外诊断试剂', '手术器械']",1.5元/m²/天,90万/亩起,"['浙江省杭州生物医药产业创新服务综合体', '浙江省级特色小镇', '浙江省级高新技术特色小镇', '杭州钱塘新区高端生物医药省级“万亩千亿”新产业平台', '中国最佳医疗健康产业园Top10']","['生物医药', '医疗器械', '生物医学工程', '智慧医疗']","['和达药谷中心', '和科科技中心', '和享科技中心', '和达药谷（四期）']","['距离杭州站：19KM驾车需要39分钟', '距离杭州东站：22KM驾车需要56分钟', '距离杭州南站：12KM驾车需要77分钟', '距离杭州西站：32KM驾车需要71分钟', '距离杭州萧山国际机场：12KM驾车需要28分钟']",55,-,1513,"['杭州默沙东制药有限公司', '辉瑞生物制药(杭州)有限公司', '泰尔茂医疗产品(杭州)有限公司', '眼力健(杭州)制药有限公司', '杭州奕安济世生物药业有限公司', '艾博生物医药(杭州)有限公司', '旭化成医疗器械(杭州)有限公司', '杭州贝瑞和康基因诊断技术有限公司', '浙江惠松制药有限公司', '浙江康飞思医疗科技有限公司', '浙江华海生物科技有限公司', '杭州捷诺飞生物科技股份有限公司', '杭州明德生物医药技术有限公司', '天境生物科技（杭州）有限公司', '杭州奥泰生物技术股份有限公司']",90,1500-2000,1.5,-,-,-,-,-,-,有,有,-,-,-,-,星禾时代影城；四季国际影城；中影星辰都尚影城；杭州新远下沙影城；百老汇影城；银河欢乐影城；SFC上影；新动影城,-,"['杭州电子科技大学', '浙江理工大学', '浙江工商大学', '中国计量大学', '浙江财经大学', '浙江传媒学院', '杭州职业技术学院']",[],https://www.yaoxuanzhi.com/parkdetail/9788f27b057a5a2f0da89ec296f21542,30.334608792450545,120.32711409111288,80,100
6,6,6,6,外高桥复旦科技园创新中心,上海市浦东新区加枫路8号,位于上海外高桥保税自贸区内商务核心区，毗邻海关，周边商业配套、金融服务、生活娱乐设施资源成熟。距离地铁站十五分钟。区内生物医药企业聚集，美药典、药明康德等国内外知名药企都在这里/生物医药生态圈资源完整，实力雄厚。,['生物技术研究'],3.2元/m²/天,-万/亩起,[],['生物医药研发'],['生物医药产业孵化平台'],"['距离上海站：25KM驾车需要42分钟', '距离上海南站：40KM驾车需要46分钟', '距离上海虹桥站：39KM驾车需要53分钟', '距离上海西站：27KM驾车需要47分钟', '距离上海虹桥国际机场：38KM驾车需要55分钟', '距离上海浦东国际机场：32KM驾车需要35分钟']",-,-,5,"['华熙生物', '精翰生物', '西西艾尔']",-,3.2,3.2,2.5,-,1,1.5,有,有,无,有,2,5,1KM,有,有,森兰商都,['复旦大学'],[],https://www.yaoxuanzhi.com/parkdetail/58401966fcafb8409e16c83954e05aa7,31.31729615648144,121.60085634156415,80,100
7,7,7,7,杭州综合保税区,浙江省杭州市钱塘新区12号大街,"2000年4月国务院批准设立杭州出口加工区，2018年2月13日，国务院批准出口加工区升级为综合保税区，2019年6月正式封关运行，规划面积2.007平方公里（目前产业剩余空间约340亩）。目前已形成笔记本电脑、汽车配件、家用电器为主导,保税加工、加工制造、保税物流、跨境电商为依托的全产业链格局。","['健康管理服务', '化药', '医疗机构', '保健食品', '体外诊断试剂', '中药', '医学研究', '生物技术研究', '药品CRO', '药品CDMO']",1.7元/m²/天,90万/亩起,['浙江省进口贸易促进创新示范区'],['高端装备制造'],['全国首创保税进口+零售加工的进口新模式'],['距离杭州萧山国际机场：9KM驾车需要32分钟'],3,-,28,"['玳能科技（杭州）有限公司', '杭州孟氏装饰材料制造有限公司', '中日龙电器制品（杭州）有限公司']",90,2000,1.7,-,-,-,0.55,无,有,有,有,5,3,1000米,有,比高电影院,-,"['浙江理工大学', '中国计量大学', '浙江财经大学', '浙江水利水电学院', '杭州师范大学', '杭州电子科技大学', '浙江金融职业学院']","['黎源(博士)', '孙亚萍(博士)']",https://www.yaoxuanzhi.com/parkdetail/56095acee5c2120c3e6e122fb75daf77,30.247341620933053,120.1865497316206,75,100
8,8,8,8,辽宁新民经济开发区,辽宁省沈阳市新民市世纪大街与东营北三路交叉口东100米,"辽宁新民经济开发区始建于1992年7月,规划面积23平方公里,是国务院核准的省级开发区。开发区位于沈阳市新民城区东部,开发区重点发展以生物医药、中药保健品为主导的健康产业,以精细化工、医药化工为重点的化工产业以及浆纸业等主体产业。","['医学研究', '化药', '保健食品', '中药', '进口代理', '特殊用途化妆品', '生物农业']",0.8元/m²/天,22.5万/亩起,"['省级开发区', '中国医药生物技术协会东北(沈阳)产业发展基地']","['医药', '造纸']",['沈阳吉隆产业园'],"['距离沈阳站：57KM驾车需要103分钟', '距离沈阳北站：72KM驾车需要106分钟', '距离沈阳南站：93KM驾车需要88分钟', '距离苏家屯站：88KM驾车需要81分钟', '距离沈阳桃仙国际机场：109KM驾车需要91分钟']",4,-,21,"['沈阳林特制药有限公司', '沈阳三九药业有限公司', '沈阳绿洲制药有限责任公司', '沈阳林特医药科技有限公司', '沈阳天福动物药业有限公司', '沈阳一草中药研究所', '沈阳玖龙纸业']",22.5,1000,0.8,0.3,3,2,0.6,无,有,有,有,1,0,3000,有,富源影城,1,"['中国医科大学', '东北大学', '辽宁中医药大学', '沈阳药科大学']",[],https://www.yaoxuanzhi.com/parkdetail/1cbe53ec4229028718b75c5cc1989ea3,41.99828309934121,122.86022942572609,30,100
9,9,9,9,上海自贸壹号生命科技产业园,上海市外高桥保税区巴圣路160号,上海自贸壹号生命科技产业园位于上海自贸区核心区——外高桥保税区，总建筑面积14万㎡，打造自贸区生命科技产业集群标杆，以“产业➕地产➕资本”运作模式，“从产业中来，到产业中去”，聚焦生物医药研发生产，医疗器械，生命科技服务等领域，搭建高端生命科技产业“苗圃➕孵化➕加速➕成长”全生命周期一站式服务生态圈。,"['生物技术研究', '医学研究', '生物农业', '体外诊断试剂', '健康管理服务', '保健食品', '疾病精准诊断']",-元/m²/天,-万/亩起,"['全国TOP10优秀产城项目', '浦东新区科技企业孵化联盟成员单位', '浦东新区创业孵化基地', '中国（上海）自由贸易试验区海外人才离岸创新创业合作空间']","['生物医药创新研发中心', '医疗器械CRO＋CDMO＋CSO服务型园区']","['50万平方米生物医药产业园规划', '拎包入驻精装实验室', '共享GMP车间', '简装实验室', '精装办公室', '毛坯厂房']","['距离上海站：25KM驾车需要45分钟', '距离上海南站：29KM驾车需要78分钟', '距离上海虹桥站：39KM驾车需要55分钟', '距离上海西站：27KM驾车需要49分钟', '距离上海虹桥国际机场：38KM驾车需要57分钟', '距离上海浦东国际机场：33KM驾车需要37分钟']",-,-,43,"['上海申蓝医疗科技有限公司', '上海产诚生物医疗科技有限公司', '上海靳诚生物医药科技有限公司', '合照锐生物技术(上海)有限公司', '思滤新材料科技(上海)有限公司', '上海德璟医疗科技有限公司', '元铕(上海)生物技术有限公司', '康图(上海)医药科技有限公司', '上海肯渡生物医药科技有限公司', '上海银边医疗器械有限公司', '上海碧新生物医药科技发展有限公司', '上海灰克新材料科技有限公司', '孚清医疗科技(上海)有限公司', '上海凯因越医疗器械贸易有限公司', '上海慧灯医疗科技有限公司']",-,-,-,-,-,-,-,有,有,无,有,5,5,2000,有,-,-,"['复旦大学', '上海交通大学', '上海理工大学']",[],https://www.yaoxuanzhi.com/parkdetail/e6b604c6f74842c2c496e043c50d19dd,31.311250951368738,121.60966810305975,80,100
